question_title_list,answer_count_list,no_of_view_list,anonymity_label,non_anonymous_answer_count,anonymous_answer_count
"I have a lesbian best friend, I've adored her since meeting her and always wanted her to peg me even if I didn't ask for anything back. Do you think it'd be possible? My biggest fantasy is a dyke lesbian.",1,191,0,1,0
"What was the raunchiest thing that you saw a bride-to-be do with male strippers, can my photo be viewed?",1,512,0,1,0
Have you ever seen your neighbour having sex at night?,3,2848,1,3,0
Would you ever have a threesome with a man and an Otokonoko/Newhafu?,1,161,0,1,0
I’m going to be receiving my first blow job ever. What do I need to be prepared for and any advice or anything I should know before it happens?,5,1317,0,4,1
"How do single men or women deal with their sex desires? What are the best ways to deal with your sex desire when you have no spouse or love, especially as a woman?",4,498,1,4,0
How long does a month go by without a baby getting laid?,1,134,0,1,0
Is having sex 3 times a week enough?,8,1284,1,8,0
My GF has admitted that she is a nymphomaniac and has had numerous encounters. Is it possible for her to be celibate with me?,2,444,0,2,0
Is there any 12-15-year-old boy who can DM chat with me about sexual stuff ?,2,485,0,2,0
Why are many narcissists sexual deviants?,11,6420,0,11,0
"Casting Couch, MeToo, and sexual favours are all facts of life. If this ever happened to you in real time, share your experience?",1,1212,0,1,0
How do you explain something sexual you want to do with your partner?,4,770,0,4,0
"All my life I used to be with girls, but recently boys make me so horny. I would love to be gay, but I’m scared. What shall I do?",2,492,0,2,0
What part of the vagina is best to lick and suck on?,4,611,0,3,1
"I had unprotected sex and my next period came on the 31st day of my cycle, which is normal, but I am now on my 38th of my next cycle (without sex). Do you have any ideas about it?",1,99,0,1,0
"Is it bad to lose my virginity at 14? I have known the guy for a while and I really like him, but we haven't been dating for long. He also doesn't want to use a condom.",1,158,0,1,0
Does HIV spread through blowjob from female to male?,1,551,0,1,0
Can a man's testicles fill up and semen comes out by it self?,1,116,0,1,0
What are the best stockings or pantyhose for a footjob?,1,309,0,1,0
Is sucking a big cock more exciting?,5,1345,0,5,0
"Why does some people tell that if people can wear any dresses, can love anyone and have sex, then sex outside marraige/ infidelity/ couples exchanging is not wrong and people need to change their mind as it is 21st century?",2,222,1,2,0
What is classified as dressing too exposed or sexual? Your honest answers please,1,153,0,1,0
"If a wife slept with other men and enjoyed everything before marriage and now marries a man who was a virgin until marriage, then with whom will she feel more special, the exes or the husband?",4,326,1,4,0
"I'm a newly married Indian male. I asked my Indian wife about 3-4 times about giving me oral, but she refused every time. How do I convince her about it?",2,591,1,1,1
My boyfriend is selfish in bed and does only the things he likes. I talked to him about it and he said that I can have sex with another guy who likes the same things as me. How should I take this?,7,940,1,7,0
Has anyone had sex with 3 different people in the same day?,5,1284,0,5,0
"Why do sex scenes in movies make me extremely uncomfortable? When I was a kid, I could never even go to sex ed because of how uncomfortable it made me feel. Why am I like this?",1,625,0,1,0
Who are the best black female porn stars?,2,58551,0,1,1
I want to make out 4-5 times a day and every alternate day. Is it normal?,1,945,0,1,0
Can I suck a girl’s vagina if she is mate with many guys?,1,75,0,1,0
I'm 15 and my penis is 5.4 when erect. What do you think will be the size of it when I'm done with puberty?,2,344,0,2,0
What should you do if a girl wants you to suck her breast?,7,1961,0,6,1
Is it normal to have only had sex with people I met from dating apps?,1,117,0,0,1
"What makes a girl a hoe, slut, whore, etc.?",3,626,0,3,0
My female best friend wanted to have sex with me and I turned her down. She is upset and hurt. How can I make it up to her without sleeping with her?,2,526,1,2,0
"When a narcissist learns how to satisfy you sexually, do they begin to withhold sex from you?",1,332,0,1,0
Does having BPD go hand in hand with Sex and Love addiction?,1,95,0,1,0
"When fucking your wife, do you look at her?",7,864,0,7,0
"As a married couple, what is your most common sex position?",2,1449,1,2,0
Why do I feel that all the guys my gf has had sexual experiences with in the past (her body count is high) have something on me? Like they can say “I’ve already had her” or “she di stuff with me she will never do with you”. Please help?,7,766,0,7,0
How far have you gone sexually with a virgin?,2,2350,0,2,0
Would it be wrong to sleep with my brother's wife's sister?,8,951,1,8,0
What leads married men to have troubles with erections?,1,219,0,1,0
"The age of consent in my country is 15 and I am 16 now. I have a boyfriend and he agreed that we should have sex when we have dated for at least a year, when we will both be 17. Is this okay?",4,488,0,4,0
How can you tell if your first threesome was the best?,2,824,0,2,0
How many women have sucked 2 penises at once?,2,425,0,2,0
Can I have sex with my girlfriend’s daughter?,10,1642,0,10,0
Has your wife brought home men to have sex in front of you?,3,267,0,3,0
Is it true that having sexual intercourse stops your penis growth? I heard it somewhere and now I'm afraid of losing my virginity before the end of puberty.,1,222,0,1,0
Is there such a thing as a garbage fetish?,1,132,0,1,0
"I have always wanted to come to Japan. I want to dress as a woman in lingerie, etc., even a kimono, then work in the sex industry. Is this normal there? Is it something you think you could help with?",1,329,0,1,0
Have you ever had and raised a bulls child (in a cuckold relationship)?,1,78,0,1,0
How does male circumcision affect the sex life both for the woman and the man?,1,190,0,1,0
Is it safe to put my arm into her vagina?,6,848,1,6,0
Why is by law marriage legal for sex and prostitution illegal for sex because cash is involved or some thing else?,1,177,0,1,0
Who's the man that got pregnant 30 times?,2,717,1,2,0
"Why, when I hear my parents going at it in the other room, do I get turned on?",1,82,0,1,0
How do I give my boyfriend (13) a boner?,5,1680,0,5,0
I have very good stamina in bed. I want to earn money from that. I am an average-looking person. Are Indian women satisfied with a partner or is good stamina not required in this market?,1,524,1,1,0
I'm a female and my boyfriend requests for me to suck his dick while he is asleep. He says rape me I love it. What should I do?,3,360,0,3,0
Is it possible to be a decent human being without having sex?,4,2013,0,4,0
"How do I get my sex life back after being sexless for years? It's been over 2 years & I have given up. I don't have the motivation to pursue anything & feel like I've wasted my life, this is time I will never get back and I am depressed about it.",1,572,0,1,0
"When straight people watch BL shows, does it say something about their sexuality to some extent?",1,452,0,1,0
What happens if sperm enters a boy while I was having sex with him?,1,678,1,1,0
Do babies have sexual urges?,1,164,0,1,0
Is it illegal for an adult to sell a nude of herself to another adult consensually?,6,764,0,6,0
I can't have sex with my boyfriend whenever I want because he has to be psychologically ready. We won't be doing anything the day he has a fight with his boss or didn't get enough sleep. Is this normal?,1,483,1,1,0
Is it okay to want to sleep with your dad (sexually)?,6,1198,0,6,0
Why am I not getting any erections? I’ve stopped masturbating for a while now so I can actually orgasm when I’m having sex. But I’m not getting any erections or morning wood.,1,95,0,1,0
What is the best but weirdest thing a woman can do to her husband on bed?,2,183,0,2,0
"Have you considered ""training for sex"" to impress your partner?",2,1136,0,2,0
How do I stop being so closed minded? I fingered a girl. She told me she was a virgin but my fingers went in easily and then my penis. She didn't make any noise or what so ever. Was she lying to me?,4,1549,0,4,0
Are a majority of men who see sex workers men who are losers and can't get a woman normally such as short men?,3,383,1,3,0
"I love to have sex with 45 to 75-year-old women, but I am very shy to ask them. What can I do to break the ice and be approved?",2,341,0,2,0
How many straight Men have tried bottoming? How did it feel?,2,316,0,2,0
"I’m a virgin freshman in high school and my boyfriend says he loves me but his body count is 6. I don’t want to lose my virginity anytime soon, and we both think we could last a long time but I’m scared he’s going to get bored of me. What do I do?",2,296,0,2,0
Can female sex hormones help men fight coronavirus?,2,2081,0,2,0
Why does my midwife want me to have sex to determine how well I am healing after an episiotomy? She says she needs to understand how the afterbirth pains feel like for me. Does this make medical sense?,2,726,0,2,0
My penis is short (5 inches only). Do I need to be glad because it's not a micropenis?,3,373,0,3,0
Do Indian girls like rimming?,4,2131,0,4,0
Why has Quora become a haven for silly queries about sex?,1,537,0,1,0
Does women prefer oral sex or anal sex mostly?,1,125,0,1,0
What are some movies based on sexual torture?,1,665,0,1,0
"Is my aunt flirting with me, or does she want to have sex?",3,460,0,3,0
"Im only 12 (guy) and I really want physical sex. What should I do? (Yes, I already Masturbate)",2,742,0,2,0
"If I am a female prisoner having sex with male officer and we were investigated I denied all allegations because we were together after I was released and he had to resign, 2 years later we broke up can I still press charges?",1,139,0,1,0
Can I be in a sexual relationship?,1,888,0,1,0
Are there men who prefer small breasts over large breasts?,3,1158,1,3,0
Does the female role in sex lead to double standards regarding sleeping around between men and women?,1,171,1,0,1
Is there such a thing as someone (professional or otherwise) who will have sex with me and teach me how to do it well? Or does that not happen?,3,346,1,3,0
Is it normal for a guy to finger your butt while making out?,3,492,1,2,1
Can you kiss someone of the opposite sex during Ramadan?,3,106,0,3,0
Why won’t my husband watch porn with me but will spend hours/days in his masturbatorium?,2,344,0,2,0
Why some parents do not need to talk to their children about sex?,5,6766,0,5,0
